Trial,Participant,Condition,Response,Accuracy,RT
1,CappielloPsyc305LSec1-1,"Flicker, change",Change,1,21457
4,CappielloPsyc305LSec1-1,"Flicker, change",No change,0,16294
12,CappielloPsyc305LSec1-1,"Flicker, change",Change,1,6064
14,CappielloPsyc305LSec1-1,"Flicker, change",Change,1,6128
3,CappielloPsyc305LSec1-2,"Flicker, change",Change,1,6302
5,CappielloPsyc305LSec1-2,"Flicker, change",Change,1,3152
10,CappielloPsyc305LSec1-2,"Flicker, change",Change,1,2316
11,CappielloPsyc305LSec1-2,"Flicker, change",No change,0,6571
2,CappielloPsyc305LSec1-3,"Flicker, change",No change,0,7634
4,CappielloPsyc305LSec1-3,"Flicker, change",Change,1,6606
10,CappielloPsyc305LSec1-3,"Flicker, change",Change,1,9377
11,CappielloPsyc305LSec1-3,"Flicker, change",No change,0,8723
7,CappielloPsyc305LSec1-4,"Flicker, change",Change,1,10535
12,CappielloPsyc305LSec1-4,"Flicker, change",No change,0,2905
13,CappielloPsyc305LSec1-4,"Flicker, change",No change,0,10606
14,CappielloPsyc305LSec1-4,"Flicker, change",Change,1,2929
11,CappielloPsyc305LSec1-5,"Flicker, change",Change,1,4479
12,CappielloPsyc305LSec1-5,"Flicker, change",No change,0,7276
14,CappielloPsyc305LSec1-5,"Flicker, change",No change,0,7885
15,CappielloPsyc305LSec1-5,"Flicker, change",No change,0,9727
7,CappielloPsyc305LSec1-6,"Flicker, change",No change,0,2270
8,CappielloPsyc305LSec1-6,"Flicker, change",Change,1,2422
10,CappielloPsyc305LSec1-6,"Flicker, change",Change,1,3613
12,CappielloPsyc305LSec1-6,"Flicker, change",Change,1,2529
3,CappielloPsyc305LSec1-7,"Flicker, change",No change,0,8229
4,CappielloPsyc305LSec1-7,"Flicker, change",Change,1,4848
7,CappielloPsyc305LSec1-7,"Flicker, change",No change,0,14602
12,CappielloPsyc305LSec1-7,"Flicker, change",Change,1,7900
3,CappielloPsyc305LSec1-8,"Flicker, change",No change,0,6655
5,CappielloPsyc305LSec1-8,"Flicker, change",Change,1,4811
10,CappielloPsyc305LSec1-8,"Flicker, change",Change,1,2447
14,CappielloPsyc305LSec1-8,"Flicker, change",Change,1,3156
1,CappielloPsyc305LSec1-9,"Flicker, change",No change,0,53706
7,CappielloPsyc305LSec1-9,"Flicker, change",No change,0,4263
11,CappielloPsyc305LSec1-9,"Flicker, change",Change,1,8692
14,CappielloPsyc305LSec1-9,"Flicker, change",Change,1,7267
2,CappielloPsyc305LSec1-10,"Flicker, change",Change,1,3305
4,CappielloPsyc305LSec1-10,"Flicker, change",Change,1,12333
10,CappielloPsyc305LSec1-10,"Flicker, change",Change,1,3415
12,CappielloPsyc305LSec1-10,"Flicker, change",Change,1,3508
1,CappielloPsyc305LSec1-11,"Flicker, change",Change,1,8959
6,CappielloPsyc305LSec1-11,"Flicker, change",No change,0,13262
10,CappielloPsyc305LSec1-11,"Flicker, change",No change,0,4768
16,CappielloPsyc305LSec1-11,"Flicker, change",Change,1,4250
5,CappielloPsyc305LSec1-12,"Flicker, change",Change,1,5385
6,CappielloPsyc305LSec1-12,"Flicker, change",Change,1,3179
8,CappielloPsyc305LSec1-12,"Flicker, change",Change,1,2933
14,CappielloPsyc305LSec1-12,"Flicker, change",No change,0,9228
3,CappielloPsyc305LSec1-13,"Flicker, change",Change,1,5098
4,CappielloPsyc305LSec1-13,"Flicker, change",Change,1,3815
10,CappielloPsyc305LSec1-13,"Flicker, change",No change,0,6659
15,CappielloPsyc305LSec1-13,"Flicker, change",No change,0,5570
1,CappielloPsyc305LSec1-14,"Flicker, change",No change,0,3478
4,CappielloPsyc305LSec1-14,"Flicker, change",Change,1,3530
12,CappielloPsyc305LSec1-14,"Flicker, change",Change,1,13913
16,CappielloPsyc305LSec1-14,"Flicker, change",No change,0,9980
8,CappielloPsyc305LSec1-15,"Flicker, change",No change,0,4429
9,CappielloPsyc305LSec1-15,"Flicker, change",Change,1,3044
13,CappielloPsyc305LSec1-15,"Flicker, change",No change,0,3240
14,CappielloPsyc305LSec1-15,"Flicker, change",No change,0,4039
1,CappielloPsyc305LSec1-16,"Flicker, change",Change,1,4272
9,CappielloPsyc305LSec1-16,"Flicker, change",Change,1,2541
10,CappielloPsyc305LSec1-16,"Flicker, change",No change,0,4547
15,CappielloPsyc305LSec1-16,"Flicker, change",No change,0,5056
5,CappielloPsyc305LSec1-17,"Flicker, change",Change,1,6207
7,CappielloPsyc305LSec1-17,"Flicker, change",Change,1,3315
12,CappielloPsyc305LSec1-17,"Flicker, change",Change,1,2481
13,CappielloPsyc305LSec1-17,"Flicker, change",No change,0,3418
5,CappielloPsyc305LSec1-18,"Flicker, change",Change,1,13390
7,CappielloPsyc305LSec1-18,"Flicker, change",Change,1,5324
8,CappielloPsyc305LSec1-18,"Flicker, change",Change,1,8332
12,CappielloPsyc305LSec1-18,"Flicker, change",No change,0,8847
1,CappielloPsyc305LSec1-19,"Flicker, change",Change,1,7953
4,CappielloPsyc305LSec1-19,"Flicker, change",No change,0,11476
7,CappielloPsyc305LSec1-19,"Flicker, change",Change,1,2713
14,CappielloPsyc305LSec1-19,"Flicker, change",No change,0,6874
1,CappielloPsyc305LSec1-20,"Flicker, change",Change,1,4003
11,CappielloPsyc305LSec1-20,"Flicker, change",No change,0,10674
14,CappielloPsyc305LSec1-20,"Flicker, change",Change,1,7504
15,CappielloPsyc305LSec1-20,"Flicker, change",Change,1,2378
2,CappielloPsyc305LSec1-21,"Flicker, change",No change,0,11103
4,CappielloPsyc305LSec1-21,"Flicker, change",Change,1,3752
14,CappielloPsyc305LSec1-21,"Flicker, change",No change,0,3115
16,CappielloPsyc305LSec1-21,"Flicker, change",Change,1,2561
1,CappielloPsyc305LSec1-22,"Flicker, change",Change,1,7788
8,CappielloPsyc305LSec1-22,"Flicker, change",Change,1,4749
15,CappielloPsyc305LSec1-22,"Flicker, change",Change,1,2403
16,CappielloPsyc305LSec1-22,"Flicker, change",No change,0,2828
3,CappielloPsyc305LSec1-23,"Flicker, change",Change,1,5076
5,CappielloPsyc305LSec1-23,"Flicker, change",No change,0,7860
11,CappielloPsyc305LSec1-23,"Flicker, change",No change,0,13784
15,CappielloPsyc305LSec1-23,"Flicker, change",No change,0,8995
3,CappielloPsyc305LSec1-1,"Flicker, no change",No change,1,16828
5,CappielloPsyc305LSec1-1,"Flicker, no change",No change,1,19416
9,CappielloPsyc305LSec1-1,"Flicker, no change",No change,1,17638
16,CappielloPsyc305LSec1-1,"Flicker, no change",No change,1,12292
4,CappielloPsyc305LSec1-2,"Flicker, no change",No change,1,6584
8,CappielloPsyc305LSec1-2,"Flicker, no change",No change,1,10877
13,CappielloPsyc305LSec1-2,"Flicker, no change",No change,1,7258
16,CappielloPsyc305LSec1-2,"Flicker, no change",No change,1,11265
1,CappielloPsyc305LSec1-3,"Flicker, no change",No change,1,16697
7,CappielloPsyc305LSec1-3,"Flicker, no change",No change,1,5344
13,CappielloPsyc305LSec1-3,"Flicker, no change",No change,1,10050
14,CappielloPsyc305LSec1-3,"Flicker, no change",No change,1,10769
1,CappielloPsyc305LSec1-4,"Flicker, no change",No change,1,10173
5,CappielloPsyc305LSec1-4,"Flicker, no change",No change,1,12427
8,CappielloPsyc305LSec1-4,"Flicker, no change",No change,1,10365
11,CappielloPsyc305LSec1-4,"Flicker, no change",No change,1,8360
5,CappielloPsyc305LSec1-5,"Flicker, no change",No change,1,7545
6,CappielloPsyc305LSec1-5,"Flicker, no change",No change,1,8171
7,CappielloPsyc305LSec1-5,"Flicker, no change",No change,1,5717
16,CappielloPsyc305LSec1-5,"Flicker, no change",No change,1,6868
5,CappielloPsyc305LSec1-6,"Flicker, no change",Change,0,2659
