RTNoFlicker,RTFlicker
2827,5023
2492,4881
2551,2113
2115,4736
2727,17291
3332,2364
2388,2281
2077,12895
4208,5448
3235,17075
3202,6313
4246,18156
3278,3273
2619,3278
3439,3699
2293,2226
2251,2834
2166,4278
4439,4396
2141,11103
4650,7592
3352,5438
2946,7854
2679,12607
4094,12792
2376,5488
7229,4618
3572,7425
2710,4838
3310,4280
2659,7944
4081,5006
2431,5510
3491,2286
2144,6152
2003,2967
3982,9831
2889,9440
3128,13402
2323,3259
6790,24095
1868,5398
2021,2489
2613,3112
12402,11556
5166,15987
5413,6100
5709,5900
6116,10036
8760,14445
6043,2468
2429,4718
1906,10570
2372,11879
3389,5784
2179,5336
4360,14941
4460,14543
6964,11905
3428,11026
3018,3569
3580,9819
2146,6491
2791,7630
2979,7753
2638,6512
2319,5179
2989,2716
7846,9544
7620,5552
5944,6845
3790,8095
15457,17834
21147,28270
17653,22215
17410,12858
15613,28640
23991,32799
33932,150416
20066,28884
4111,8541
3044,4440
2972,3368
3309,4435
7540,14410
3182,9949
2337,13529
2510,15754
12319,19144
9568,20272
9483,19086
10994,15967
5291,6212
5552,5729
4548,6933
2237,3405
5639,8034
3985,8486
10902,6926
10325,8069
4652,7445
7004,5315
2650,5849
3606,4735
8673,11514
11587,13128
4896,10741
3020,8829
14681,17783
12631,12447
6635,10578
7058,11811
13485,18382
8626,19755
13869,15235
9763,22069
4830,16007
2229,9940
2572,7200
2373,2576
11847,13537
8887,11942
8445,12038
8385,5559
10526,12575
12481,14068
11007,11380
10682,11657
5823,7882
3715,11646
4600,6254
4952,9516
5754,2677
3947,4177
2441,3224
3176,3015
